horizon,IC_intraday_ret,t_intraday_ret_naive,t_intraday_ret_NW,IC_late_ret,t_late_ret_naive,t_late_ret_NW
1,-0.05693254777595708,-5.047025589596078,-5.047025589596078,-0.06081489426260272,-6.668255334389043,-6.668255334389043
2,-0.016046534003675967,-1.636503285394081,-1.1571825705362186,-0.02501613264721935,-2.921453064206258,-2.0657792726184634
3,-0.015688081368273685,-1.6393975007864312,-0.9465065883878458,-0.018569178491426877,-2.2039398603762805,-1.272445271665992
5,-0.014026168868251728,-1.5148229782981244,-0.677449430670659,-0.013349463596077181,-1.5512668384471604,-0.6937476204018069
10,-0.010741536057128903,-1.114347766240166,-0.3523877046839812,-0.006271404693158644,-0.7455825307533117,-0.23577389808130012
