,sessions,mean_IC,IC_sd,IC_t,pos_rate,sign_z,gross_bp,net_bp,ls_t
full,198.0,0.06003827353272029,0.15372883600583498,5.4954777194781945,0.6616161616161617,4.54828194891969,10.52112698016371,-1.4788730198362892,2.157457925943545
full (ex-earn),198.0,0.062200143833334345,0.15682258521367237,5.581043084482709,0.6717171717171717,4.83254957072717,11.296554604076379,-0.7034453959236213,2.4220395890202693
full_no_late,198.0,0.040818733445143626,0.17619447530391324,3.25986663855767,0.6161616161616161,3.2690776507860266,4.059783542372294,-7.940216457627706,0.8418936235900627
full_no_late (ex-earn),198.0,0.04302260707267481,0.1778587883285169,3.403721280327822,0.6262626262626263,3.5533452725935075,5.16486006577222,-6.83513993422778,1.0950526740957152
minimal,218.0,0.04802904895361257,0.13752105434956183,5.156595205769939,0.6651376146788991,4.876455322645894,16.471309893704895,4.471309893704895,3.7500241547275155
minimal (ex-earn),218.0,0.048243237680901996,0.13984524365307238,5.093508006453057,0.6559633027522935,4.6055411380544555,13.222585069258333,1.2225850692583329,3.372703912807077
