,k,sessions,mean_IC,IC_t_naive,IC_t_overlap_adj,pos_rate,gross_bp_total,gross_bp_per_day,cost_bp_per_day,NET_bp_per_day,ls_t_adj
minimal k=1,1.0,216.0,0.046279386442127465,4.860992841968235,4.860992841968235,0.6574074074074074,17.040859622965684,17.040859622965684,12.0,5.040859622965684,3.932489412261145
minimal k=2,2.0,214.0,0.006782512158373839,0.9055964584923178,0.6403533968184397,0.5046728971962616,3.367094473506444,1.683547236753222,6.0,-4.316452763246778,0.34566235902021814
minimal k=3,3.0,212.0,0.003930155376207328,0.5298311281510898,0.30589814446307484,0.5377358490566038,-0.5645564621847584,-0.18818548739491947,4.0,-4.188185487394919,-0.0373127242935764
minimal k=5,5.0,208.0,-0.002314072928955128,-0.30967316075185886,-0.13849004764967526,0.4855769230769231,-7.889508760681879,-1.5779017521363756,2.4,-3.9779017521363755,-0.2896413170562642
minimal k=10,10.0,198.0,0.0065354464689748905,0.9853898406764103,0.31160762797278907,0.4797979797979798,25.35007514652703,2.535007514652703,1.2,1.335007514652703,0.43839154024198096
core k=1,1.0,196.0,0.06034198985585158,5.553265275533511,5.553265275533511,0.6581632653061225,12.24715909490196,12.24715909490196,12.0,0.24715909490195997,2.6894623131712008
core k=2,2.0,194.0,0.0132702938827239,1.4306503347252018,1.0116225531909941,0.5567010309278351,6.459054747681175,3.2295273738405874,6.0,-2.7704726261594126,0.5009643225294392
core k=3,3.0,192.0,0.020468920350755815,2.1782418424290575,1.2576085140865227,0.59375,15.951635071236897,5.317211690412299,4.0,1.317211690412299,0.7878731386247665
core k=5,5.0,188.0,0.0020206727790069994,0.230281919393239,0.1029852051504819,0.5053191489361702,22.191550717931705,4.438310143586341,2.4,2.038310143586341,0.6285464630702298
core k=10,10.0,178.0,-0.011069618309712863,-0.9712665871957593,-0.3071414630757133,0.5112359550561798,-22.62552091946653,-2.2625520919466533,1.2,-3.462552091946653,-0.26053564610045604
